season,start_yardline,BLOCKED_FG,"BLOCKED_FG,_DOWNS",BLOCKED_FG_DOWNS,BLOCKED_PUNT,"BLOCKED_PUNT,_DOWNS","BLOCKED_PUNT,_SAFETY",BLOCKED_PUNT_DOWNS,DOWNS,END_GAME,END_HALF,FIELD_GOAL,FUMBLE,"FUMBLE,_SAFETY",FUMBLE_SAFETY,INTERCEPTION,MISSED_FG,PUNT,SAFETY,TOUCHDOWN,UNKNOWN,SCORING
2001,67,0.0,0.0,0.0,0.007142857142857143,0.0,0.0,0.0,0.02857142857142857,0.0,0.0,0.12857142857142856,0.06428571428571428,0.0,0.0,0.12142857142857143,0.02142857142857143,0.4928571428571429,0.0,0.1357142857142857,0.0,0.26428571428571423
2001,68,0.007246376811594203,0.0,0.0,0.0,0.0,0.0,0.0,0.014492753623188406,0.0,0.0,0.13768115942028986,0.07971014492753623,0.0,0.0,0.050724637681159424,0.057971014492753624,0.43478260869565216,0.0,0.21739130434782608,0.0,0.35507246376811596
2001,69,0.006666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.02666666666666667,0.0,0.0,0.12,0.05333333333333334,0.0,0.0,0.13333333333333333,0.03333333333333333,0.46,0.0,0.16666666666666666,0.0,0.2866666666666666
2001,70,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03184713375796178,0.0,0.0,0.14012738853503184,0.07643312101910828,0.0,0.0,0.09554140127388536,0.03184713375796178,0.49044585987261147,0.0,0.1337579617834395,0.0,0.27388535031847133
2001,71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03550295857988166,0.0,0.0,0.14201183431952663,0.04142011834319527,0.0,0.0,0.08875739644970414,0.047337278106508875,0.4556213017751479,0.0,0.1893491124260355,0.0,0.33136094674556216
2001,72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02112676056338028,0.0,0.0,0.08450704225352113,0.08450704225352113,0.0,0.0,0.1267605633802817,0.014084507042253521,0.5140845070422535,0.0,0.15492957746478872,0.0,0.23943661971830985
2001,73,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04918032786885246,0.0,0.0,0.09016393442622951,0.01639344262295082,0.0,0.0,0.09836065573770492,0.06557377049180328,0.5327868852459017,0.0,0.14754098360655737,0.0,0.23770491803278687
2001,74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0457516339869281,0.0,0.0,0.11764705882352941,0.0718954248366013,0.0,0.0,0.13071895424836602,0.0196078431372549,0.43137254901960786,0.0,0.1830065359477124,0.0,0.3006535947712418
2001,75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.046242774566473986,0.0,0.0,0.11560693641618497,0.06358381502890173,0.0,0.0,0.1676300578034682,0.023121387283236993,0.45664739884393063,0.005780346820809248,0.12138728323699421,0.0,0.23699421965317918
2001,76,0.006756756756756757,0.0,0.0,0.0,0.0,0.0,0.0,0.04054054054054054,0.0,0.0,0.08108108108108109,0.05405405405405406,0.0,0.0,0.14189189189189189,0.04054054054054054,0.46621621621621623,0.0,0.16891891891891891,0.0,0.25
2001,77,0.006493506493506494,0.0,0.0,0.0,0.0,0.0,0.0,0.05844155844155844,0.0,0.0,0.07792207792207792,0.09090909090909091,0.0,0.0,0.1038961038961039,0.03896103896103896,0.5,0.0,0.12337662337662338,0.0,0.2012987012987013
2001,78,0.0,0.0,0.0,0.007142857142857143,0.0,0.0,0.0,0.02857142857142857,0.0,0.0,0.08571428571428572,0.07857142857142857,0.0,0.0,0.12857142857142856,0.05714285714285714,0.4642857142857143,0.0,0.15,0.0,0.2357142857142857
2001,79,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0423728813559322,0.0,0.0,0.059322033898305086,0.09322033898305085,0.0,0.0,0.1016949152542373,0.01694915254237288,0.576271186440678,0.0,0.11016949152542373,0.0,0.1694915254237288
