drive_id,start_yardline,start_time_left,start_posteam_score,start_defteam_score,drive_result,time_elapsed,posteam_score_change,defteam_score_change,next_drive_start_yardline
2016_01_CLE_PHI_20,47,829.0,22.0,10.0,PUNT,128.0,0.0,0.0,80.0
2016_01_CLE_PHI_21,80,693.0,10.0,22.0,PUNT,85.0,0.0,0.0,71.0
2016_01_CLE_PHI_22,71,597.0,22.0,10.0,PUNT,322.0,0.0,0.0,92.0
2016_01_CLE_PHI_23,92,266.0,10.0,22.0,DOWNS,45.0,0.0,0.0,15.0
2016_01_CLE_PHI_24,15,216.0,22.0,10.0,TOUCHDOWN,144.0,7.0,0.0,75.0
2016_01_CLE_PHI_25,75,72.0,10.0,29.0,END_GAME,65.0,0.0,0.0,39.0
2016_01_DET_IND_1,75,3600.0,0.0,0.0,PUNT,344.0,0.0,0.0,80.0
2016_01_DET_IND_2,80,3246.0,0.0,0.0,TOUCHDOWN,263.0,7.0,0.0,75.0
2016_01_DET_IND_3,75,2983.0,0.0,7.0,PUNT,85.0,0.0,0.0,80.0
2016_01_DET_IND_4,80,2885.0,7.0,0.0,PUNT,65.0,0.0,0.0,77.0
2016_01_DET_IND_5,77,2809.0,0.0,7.0,PUNT,30.0,0.0,0.0,82.0
2016_01_DET_IND_6,82,2771.0,7.0,0.0,TOUCHDOWN,420.0,7.0,0.0,79.0
2016_01_DET_IND_7,79,2346.0,0.0,14.0,FIELD_GOAL,249.0,3.0,0.0,75.0
2016_01_DET_IND_8,75,2090.0,14.0,3.0,TOUCHDOWN,193.0,7.0,0.0,75.0
2016_01_DET_IND_9,75,1897.0,3.0,21.0,TOUCHDOWN,92.0,7.0,0.0,75.0
2016_01_DET_IND_10,75,1805.0,21.0,10.0,END_HALF,0.0,0.0,0.0,75.0
2016_01_DET_IND_11,75,1800.0,21.0,10.0,PUNT,132.0,0.0,0.0,85.0
2016_01_DET_IND_12,85,1661.0,10.0,21.0,TOUCHDOWN,240.0,8.0,0.0,81.0
2016_01_DET_IND_13,81,1415.0,21.0,18.0,PUNT,118.0,0.0,0.0,62.0
2016_01_DET_IND_14,62,1284.0,18.0,21.0,PUNT,19.0,0.0,0.0,71.0
2016_01_DET_IND_15,71,1256.0,21.0,18.0,TOUCHDOWN,216.0,7.0,0.0,75.0
2016_01_DET_IND_16,75,1040.0,18.0,28.0,FIELD_GOAL,178.0,3.0,0.0,75.0
2016_01_DET_IND_17,75,857.0,28.0,21.0,PUNT,89.0,0.0,0.0,94.0
