game_id,play_id,season,return_touchdown,starting_field_position,time_elapsed
2001_02_SD_DAL,35.0,2001,0.0,78.0,9.0
2001_02_SD_DAL,353.0,2001,0.0,80.0,7.0
2001_02_SD_DAL,708.0,2001,0.0,74.0,12.0
2001_02_SD_DAL,1004.0,2001,0.0,80.0,8.0
2001_02_SD_DAL,1059.0,2001,0.0,67.0,14.0
2001_02_SD_DAL,1546.0,2001,0.0,70.0,12.0
2001_02_SD_DAL,1792.0,2001,0.0,80.0,0.0
2001_02_SD_DAL,2069.0,2001,0.0,74.0,11.0
2001_02_SD_DAL,2518.0,2001,0.0,80.0,6.0
2001_02_SD_DAL,3120.0,2001,0.0,77.0,12.0
2001_02_SD_DAL,3345.0,2001,0.0,69.0,11.0
2001_02_SD_DAL,3910.0,2001,0.0,76.0,5.0
2001_02_STL_SF,35.0,2001,0.0,80.0,6.0
2001_02_STL_SF,373.0,2001,0.0,81.0,10.0
2001_02_STL_SF,723.0,2001,0.0,69.0,10.0
2001_02_STL_SF,1015.0,2001,0.0,76.0,10.0
2001_02_STL_SF,1457.0,2001,0.0,80.0,6.0
2001_02_STL_SF,1689.0,2001,0.0,69.0,8.0
2001_02_STL_SF,1974.0,2001,0.0,69.0,10.0
2001_02_STL_SF,2381.0,2001,0.0,68.0,13.0
2001_02_STL_SF,2692.0,2001,0.0,78.0,10.0
2001_02_STL_SF,2857.0,2001,0.0,60.0,12.0
2001_02_STL_SF,3125.0,2001,0.0,80.0,8.0
2001_02_STL_SF,3367.0,2001,0.0,69.0,12.0
2001_02_TEN_JAX,52.0,2001,0.0,71.0,9.0
2001_02_TEN_JAX,602.0,2001,0.0,80.0,6.0
2001_02_TEN_JAX,827.0,2001,0.0,78.0,1.0
2001_02_TEN_JAX,1266.0,2001,0.0,78.0,12.0
2001_02_TEN_JAX,1498.0,2001,0.0,74.0,10.0
2001_02_TEN_JAX,2042.0,2001,0.0,76.0,10.0
2001_02_TEN_JAX,2695.0,2001,0.0,67.0,11.0
2001_02_WAS_GB,35.0,2001,0.0,72.0,8.0
